name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Ruturaj Gaikwad,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ruturaj-gaikwad.jpg
Dewald Brevis,Batsman,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__dewald-brevis.jpg
Ayush Mhatre,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ayush-mhatre.jpg
Matthew Short,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__matthew-short.jpg
Sarfaraz Khan,Batsman,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__sarfaraz-khan.jpg
Shivam Dube,Batting Allrounder,Left Handed Bat,Right-arm medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__shivam-dube.jpg
Ramakrishna Ghosh,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ramakrishna-ghosh.jpg
Jamie Overton,Bowling Allrounder,Right Handed Bat,Right-arm fast,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__jamie-overton.jpg
Anshul Kamboj,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__anshul-kamboj.jpg
Prashant Veer,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__prashant-veer.jpg
Zakary Foulkes,Bowling Allrounder,Right Handed Bat,Right-arm medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__zakary-foulkes.jpg
Aman Khan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__aman-khan.jpg
MS Dhoni,WK-Batsman,Right Handed Bat,Right-arm medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ms-dhoni.jpg
Urvil Patel,WK-Batsman,Right Handed Bat,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__urvil-patel.jpg
Sanju Samson,WK-Batsman,Right Handed Bat,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__sanju-samson.jpg
Kartik Sharma,WK-Batsman,Right Handed Bat,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__kartik-sharma.jpg
Shreyas Gopal,Bowler,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__shreyas-gopal.jpg
Gurjapneet Singh,Bowler,Right Handed Bat,Left-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__gurjapneet-singh.jpg
Mukesh Choudhary,Bowler,Left Handed Bat,Left-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__mukesh-choudhary.jpg
Noor Ahmad,Bowler,Right Handed Bat,Left-arm wrist-spin,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__noor-ahmad.jpg
Akeal Hosein,Bowler,Left Handed Bat,Left-arm orthodox,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__akeal-hosein.jpg
Matt Henry,Bowler,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__matt-henry.jpg
Rahul Chahar,Bowler,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__rahul-chahar.jpg
Spencer Johnson,Bowler,Left Handed Bat,Left-arm fast,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__spencer-johnson.jpg
Karun Nair,Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__karun-nair.jpg
Nitish Rana,Batsman,Left Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__nitish-rana.jpg
Sameer Rizvi,Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__sameer-rizvi.jpg
David Miller,Batsman,Left Handed Bat,,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__david-miller.jpg
Pathum Nissanka,Batsman,Right Handed Bat,,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__pathum-nissanka.jpg
Sahil Parakh,Batsman,Left Handed Bat,Right-arm legbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__sahil-parakh.jpg
Prithvi Shaw,Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__prithvi-shaw.jpg
Ashutosh Sharma,Batting Allrounder,Right Handed Bat,Right-arm medium,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__ashutosh-sharma.jpg
Axar Patel,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__axar-patel.jpg
Ajay Jadav Mandal,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__ajay-jadav-mandal.jpg
Madhav Tiwari,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__madhav-tiwari.jpg
Vipraj Nigam,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__vipraj-nigam.jpg
Tripurana Vijay,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__tripurana-vijay.jpg
Auqib Nabi Dar,Bowling Allrounder,Right Handed Bat,Right-arm medium,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__auqib-nabi-dar.jpg
Abishek Porel,WK-Batsman,Left Handed Bat,,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__abishek-porel.jpg
KL Rahul,WK-Batsman,Right Handed Bat,,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__kl-rahul.jpg
Tristan Stubbs,WK-Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__tristan-stubbs.jpg
Dushmantha Chameera,Bowler,Right Handed Bat,Right-arm fast,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__dushmantha-chameera.jpg
Kuldeep Yadav,Bowler,Left Handed Bat,Left-arm wrist-spin,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__kuldeep-yadav.jpg
Mukesh Kumar,Bowler,Right Handed Bat,Right-arm fast-medium,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__mukesh-kumar.jpg
T Natarajan,Bowler,Left Handed Bat,Left-arm fast-medium,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__t-natarajan.jpg
Mitchell Starc,Bowler,Left Handed Bat,Left-arm fast,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__mitchell-starc.jpg
Lungi Ngidi,Bowler,Right Handed Bat,Right-arm fast,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__lungi-ngidi.jpg
Kyle Jamieson,Bowler,Right Handed Bat,Right-arm fast-medium,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__kyle-jamieson.jpg
Shubman Gill,Batsman,Right Handed Bat,Right-arm offbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__shubman-gill.jpg
Shahrukh Khan,Batsman,Right Handed Bat,Right-arm offbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__shahrukh-khan.jpg
Sai Sudharsan,Batsman,Left Handed Bat,Right-arm legbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__sai-sudharsan.jpg
Nishant Sindhu,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__nishant-sindhu.jpg
Rashid Khan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__rashid-khan.jpg
Manav Suthar,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__manav-suthar.jpg
Rahul Tewatia,Bowling Allrounder,Left Handed Bat,Right-arm legbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__rahul-tewatia.jpg
Washington Sundar,Bowling Allrounder,Left Handed Bat,Right-arm offbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__washington-sundar.jpg
Arshad Khan,Bowling Allrounder,Left Handed Bat,Left-arm medium,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__arshad-khan.jpg
Ravisrinivasan Sai Kishore,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__ravisrinivasan-sai-kishore.jpg
Jason Holder,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__jason-holder.jpg
Anuj Rawat,WK-Batsman,Left Handed Bat,,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__anuj-rawat.jpg
Jos Buttler,WK-Batsman,Right Handed Bat,,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__jos-buttler.jpg
Kumar Kushagra,WK-Batsman,Right Handed Bat,,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__kumar-kushagra.jpg
Glenn Phillips,WK-Batsman,Right Handed Bat,Right-arm offbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__glenn-phillips.jpg
Connor Esterhuizen,WK-Batsman,Right Handed Bat,,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__connor-esterhuizen.jpg
Gurnoor Brar,Bowler,Left Handed Bat,Right-arm fast,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__gurnoor-brar.jpg
Mohammed Siraj,Bowler,Right Handed Bat,Right-arm fast,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__mohammed-siraj.jpg
Prasidh Krishna,Bowler,Right Handed Bat,Right-arm fast,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__prasidh-krishna.jpg
Kagiso Rabada,Bowler,Left Handed Bat,Right-arm fast,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__kagiso-rabada.jpg
Jayant Yadav,Bowler,Right Handed Bat,Right-arm offbreak,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__jayant-yadav.jpg
Ishant Sharma,Bowler,Right Handed Bat,Right-arm fast-medium,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__ishant-sharma.jpg
Ashok Sharma,Bowler,Right Handed Bat,Right-arm fast-medium,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__ashok-sharma.jpg
Luke Wood,Bowler,Left Handed Bat,Left-arm fast-medium,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__luke-wood.jpg
Kulwant Khejroliya,Bowler,Left Handed Bat,Left-arm fast-medium,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__kulwant-khejroliya.jpg
Rajat Patidar,Batsman,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__rajat-patidar.jpg
Tim David,Batsman,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__tim-david.jpg
Virat Kohli,Batsman,Right Handed Bat,Right-arm medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__virat-kohli.jpg
Devdutt Padikkal,Batsman,Left Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__devdutt-padikkal.jpg
Jacob Bethell,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__jacob-bethell.jpg
Krunal Pandya,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__krunal-pandya.jpg
Venkatesh Iyer,Batting Allrounder,Left Handed Bat,Right-arm medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__venkatesh-iyer.jpg
Vihaan Malhotra,Batting Allrounder,Left Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__vihaan-malhotra.jpg
Romario Shepherd,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__romario-shepherd.jpg
Mangesh Yadav,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__mangesh-yadav.jpg
Kanishk Chouhan,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__kanishk-chouhan.jpg
Satvik Deswal,Bowling Allrounder,Left Handed Bat,Left-arm wrist-spin,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__satvik-deswal.jpg
Philip Salt,WK-Batsman,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__philip-salt.jpg
Jitesh Sharma,WK-Batsman,Right Handed Bat,,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__jitesh-sharma.jpg
Jordan Cox,WK-Batsman,Right Handed Bat,,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__jordan-cox.jpg
Abhinandan Singh,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__abhinandan-singh.jpg
Josh Hazlewood,Bowler,Left Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__josh-hazlewood.jpg
Rasikh Salam Dar,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__rasikh-salam-dar.jpg
Bhuvneshwar Kumar,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__bhuvneshwar-kumar.jpg
Suyash Sharma,Bowler,Right Handed Bat,Right-arm legbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__suyash-sharma.jpg
Swapnil Singh,Bowler,Right Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__swapnil-singh.jpg
Nuwan Thushara,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__nuwan-thushara.jpg
Jacob Duffy,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__jacob-duffy.jpg
Vicky Ostwal,Bowler,Right Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__vicky-ostwal.jpg
Shreyas Iyer,Batsman,Right Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__shreyas-iyer.jpg
Priyansh Arya,Batsman,Left Handed Bat,Right-arm offbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__priyansh-arya.jpg
Pyla Avinash,Batsman,Right Handed Bat,Right-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__pyla-avinash.jpg
Harnoor Singh,Batsman,Left Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__harnoor-singh.jpg
Nehal Wadhera,Batsman,Left Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__nehal-wadhera.jpg
Mitchell Owen,Batting Allrounder,Right Handed Bat,Right-arm medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__mitchell-owen.jpg
Musheer Khan,Batting Allrounder,Right Handed Bat,Left-arm orthodox,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__musheer-khan.jpg
Shashank Singh,Batting Allrounder,Right Handed Bat,Right-arm medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__shashank-singh.jpg
Marcus Stoinis,Batting Allrounder,Right Handed Bat,Right-arm medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__marcus-stoinis.jpg
Suryansh Shedge,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__suryansh-shedge.jpg
Cooper Connolly,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__cooper-connolly.jpg
Azmatullah Omarzai,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__azmatullah-omarzai.jpg
Marco Jansen,Bowling Allrounder,Right Handed Bat,Left-arm fast,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__marco-jansen.jpg
Praveen Dubey,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__praveen-dubey.jpg
Prabhsimran Singh,WK-Batsman,Right Handed Bat,,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__prabhsimran-singh.jpg
Vishnu Vinod,WK-Batsman,Right Handed Bat,,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__vishnu-vinod.jpg
Arshdeep Singh,Bowler,Left Handed Bat,Left-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__arshdeep-singh.jpg
Xavier Bartlett,Bowler,Right Handed Bat,Right-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__xavier-bartlett.jpg
Yuzvendra Chahal,Bowler,Right Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__yuzvendra-chahal.jpg
Lockie Ferguson,Bowler,Right Handed Bat,Right-arm fast,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__lockie-ferguson.jpg
Harpreet Brar,Bowler,Left Handed Bat,Left-arm orthodox,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__harpreet-brar.jpg
Vijaykumar Vyshak,Bowler,Right Handed Bat,Right-arm medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__vijaykumar-vyshak.jpg
Yash Thakur,Bowler,Right Handed Bat,Right-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__yash-thakur.jpg
Ben Dwarshuis,Bowler,Left Handed Bat,Left-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__ben-dwarshuis.jpg
Vishal Nishad,Bowler,Right Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__vishal-nishad.jpg
Ajinkya Rahane,Batsman,Right Handed Bat,Right-arm medium,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kolkata-knight-riders__ajinkya-rahane.jpg
